Row Labels,Sum of value
Mr.      Nader      Khaqan Abbasi,4500000
Dr. Abid Riaz,4400000
"Prime   Minister   of Pakistan,      Imran
Khan",4318035
"Mr.    Muhammad    Nawaz Sharif,  Prime  Minister  of
Pakistan",4255919
"Mr.       Fawad       Hasan Fawad, Secretary to the Prime Minister.",4170000
"Mr.  Muhammad  Nawaz
Sharif,  Prime  Minster  of Pakistan",4050000
"Khan  Hasham  bin Saddique,         the
Ambassador       of Pakistan  in  Saudi
Arabia",4050000
Mr. Awab Alvi,4000000
"Khalid         Maqbool         Siddiqui, Convener, MQM (Pakistan)
MNA NA-255",3850000
"Khawaja Muhammad Asif, Defence",3800000
"Mr.  Mamnoon  Hussain, President of Pakistan",3695000
"Mr.   Shaukat   Aziz,   Prime Minister of Pakistan",3638713
"Mr.  Khan  Hasham bin         Saddique, Ambassador       of Pakistan  to  Saudi
Arabia",3550000
"Wg.Cdr.              Qamar Mohyudin   Chishti,  ADC to the Prime Minister.",3500000
Presented  to  Mrs. Sadiqa Awab Alvi,3500000
"Mr.  Muhammad  Nabeel Afzaal   Bajwa,   PSO   to the Prime Minister.",3500000
"Brig.       Akmal       Aziz, Military Secretary to the Prime Minister.",3490000
"Chaudhry     Fawad Hussain,    Minister for Information",3461000
"Syed     Tariq     Fatemi, SAPM on Foreign Affairs",3318276
"Mr.   M.   Nabeel   Afzaal Bajwa, PSO to the Prime Minister",3250000
"SP   Rana   Shoaib Mehmood,  CSO  to
Prime Minister",2900000
"Mr.  Murad  Ashraf Janjua,    Chief    of
State Protocol",2900000
"Mr.    Asad    Umer, Finance Minister",2845000
"Mr.   Abdul   Razak Dawood,    Advisor to Prime Minister",2845000
"Brig.         Waseem Iftikhar    Cheema, MS      to      Prime Minister",2845000
"General Pervez Musharaf, President of Pakistan",2807823
"Sahebzada          Ahmed Khan,             Additional Secretary    /    Chief    of
State Protocol",2800000
"Mr.             Mamnoon Hussain,  President  of Pakistan",2721408
"First   lady,   wife   of General         Parvez Musharraf, President
of Pakistan",2634387
"Mr.                 Sohail
Mehmood,     Foreign Secretary",2600000
"Vice  Admiral  (R)  Khan Hasham   bin   Saddique, Ambassador  of  Pakistan in Saudi Arabia",2550000
"Shah         Mehmood
Hussain       Qureshi, Foreign   Minister   of Pakistan",2500000
"Sahebzada  Ahmed Khan,     Additional Secretary   /   Chief of State Protocol",2482750
"Mr.    Asad    Mehmood,    Federal Minister for Communications",2420000
"Sheikh  Rasheed  Ahmed, Minister for interior",2350000
"Mr.    Imran    Khan, Prime    Minister    of
Pakistan",2306500
"Sheikh  Rasheed  Ahmed, Minister of interior",2265000
"Presented  to  Brig.
Aamer   Amin   MS (P)",2250000
"Sumair Ahmad Syed, PSO to Prime Minister",2200000
"Wife      of      Prime
Minister,        Yousaf Raza Gillani",2183620
"Sheikh Rashid Ahmed, Minister for Interior",2100000
"Shehryar      Akbar
Khan,          Consul General",2050000
"Syed  Zulfiqar  Abbas Bukhari,   SAPM   on Overseas Pakistanis",2044292
"Mr.    Murad    Ashraf Janjua,     Chief     of Protocol M/o Foreign Affairs",2000000
"Mr.          Shehryar Akbar           Khan, Consul  General  of Pakistan  in  Saudi
Arabia",2000000
"Khan  Hasham  bin Saddique, Ambassador       of Pakistan  to  Saudi
Arabia",2000000
"Brig.         Waseem Iftikhar    Cheema, MS  to  the  Prime
Minister",2000000
"Syed Yousaf Raza Gillani, Prime       Minister       of Pakistan",1961000
"SP        Rana        Shoaib
Mehmood,             Chief Security  Officer  to  the Prime Minister.",1950000
"Mr.  Fawad  Hasan Fawad,    Secretary to      the      Prime
Minister",1910000
"Prime       Minister       of Pakistan,
Mr.     Shahid     Khaqan Abbasi",1850000
"Mr.      Fawad      Hasan
Fawad, Secretary to the Prime Minister",1850000
"Khawaja Muhammad     Asif,
Foreign Minister",1800000
"Mr.  Ishaq  Dar,  Finance Minister",1765000
"Mr.   Imran   Khan, Prime   Minister   of Pakistan",1693000
"Mr.  Muhammad   Nawaz Sharif, Prime Minister of Pakistan",1680000
"Brig. Akmal Aziz, MS to the Prime Minister",1668000
"First  lady,  wife  of  Gen Parvez            Musharaf, President of Pakistan",1654800
"Gen   Parvez   Musharaf, President of Pakistan",1614700
"Brig.           Waseem Iftikhar Cheema, MS to the Prime Minister",1600000
"Prime   Minister   of Pakistan,          Mr.
Imran Khan",1570000
"Mr.  Imran  Khan,  Prime Minister of Pakistan",1554000
"President      of      Pakistan, General Pervaiz Musharraf",1550840
"Mr.   Ahsan   Iqbal, Minister            for
Interior",1550000
"Mr.      Fawad      Hassan Fawad,  Addl.  Secretary PM Office",1519000
"Mr.    Manzoor    ul Haq, Member, KPK Public         Service Commission Peshawar,   former Ambassador       to
KSA",1500000
"Mr.     M.     Nabeel
Afzal  Bajwa,  PSO to Prime Minister",1500000
"Lt.    Col.    Moeen Iqbal   Khan,   DMS
to Prime Minister",1400000
"Dr.    Abdul    Hafeez Sheikh,   Adviser   to the PM on Finance &
Revenue",1400000
"Ms. Tehmina Janjua, Foreign Secretary",1350000
"Mian            Muhammad Shehbaz   Sharif,   Chief Minister of Punjab",1335000
"Mir  Zafarullah  Khan Jamali,           Prime Minister of Pakistan",1322335
"SP   Rana   Shoaib Mehmood,     Chief Security  Officer  to
Prime Minister",1300000
"SP        Rana        Shoaib Mehmood,  CSO  to  the
Prime Minister.",1300000
"Sahebzada         A. Khan,     Additional Secretary   /   Chief
of  State  Protocol,",1300000
"Brig            Waseem
Iftikhar       Cheema,
Military  secretary  to the Prime Minister",1300000
"Maj.  Nasir  Barkatullah, Assistant           Security
Officer    to    the    Prime Minister",1250000
"Ms.          Tehmina
Janjua,       Foreign Secretary",1239300
"Raja  Pervez  Ashraf,  Prime Minister of Pakistan",1224000
"Mr.  Zia  ul  Haq,  Valet  to  Prime Minister",1214170
"Mr. Imran Khan, Prime Minister of Pakistan",1201500
"Shah         Mehmood
Hussain       Qureshi,
Foreign   Minister   of Pakistan",1200000
"Mr.    Shaukat    Fayaz Ahmad Tarin, Minister for Finance, Revenue, Economic  Affairs  and Statistics",1200000
(blank),1165320
"Mr.   Moin-ul-Haq,   Chief of  Protocol,  Ministry  of Foreign Affairs",1160250
"Brig.   Waseem   Iftikhar Cheema,             Military Secretary  to  the  Prime",1150000
"Prime    Minister    of Pakistan,            and Begum            Prime Minister of Pakistan",1119400
"Mr.          Muhammad Nawaz  Sharif,  Prime Minister of Pakistan",1101000
"First lady of Pakistan, wife  of  Mr.  Mamnoon Hussain",1095410
"Syed  Yousaf  Raza  Gilani, Prime Minister of Pakistan",1050000
"Presented  to  Maj. Khalid         Habib,
CSO(P)",1050000
"Presented  to  Maj. Gen.  Khurshid  M.
Uttra, PP(P)",1050000
"Mr.      Ammar      Amin, Deputy Chief of Protocol
(V-II)",1050000
"Flt. Lt. Aman Ullah, ADC to the Prime Minister",1050000
"Mr.   Khurshid   M.   Kasuri, Foreign Minister",1048340
"Mr.  Muhammad  Nawaz Sharif, Prime Minister of
Pakistan",1047800
"Mr. Shahid Khaqan Abbasi,         Prime
Minister             of
Pakistan",1045000
Wife       of       Brig. Waseem       Iftikhar Cheema,1044292
"Mr.      Muhammad Ali,  PSO  to  Prime Minister",1030000
"Zeeshan       Ahmed,
Charge d’ Affairs",1010000
"Presented   to   Mr. Shehryar      Akbar
Khan,          Consul General, Jeddah",1010000
"Presented   to   Mr. Ammar         Amin, Deputy    Chief    of
Protocol,          M/o Foreign Affairs",1010000
"Dr.       Arif       Alvi, President of Pakistan",992200
"Syed   Tariq   Fatemi, SAPM     on     Foreign
Affairs",990000
"Vice  Admiral  (R)  Khan Hasham   Bin   Saddique,
Ambassador",980000
"Mr.  Sartaj  Aziz,  Advisor
to the Prime Minister on Foreign Affairs",980000
"Mr.       Fawad       Hasan
Fawad, Secretary to the",980000
"Brig.  Akmal  Aziz,  MS  to the Prime Minister",980000
"Foreign     Secretary, Mr. Sohail Mahmood",956000
"General                 Parvez Musharraf,   President   of
Pakistan",944000
Mr.     Hussain     Nawaz Sharif,940000
"Mr.  Tahir  Rafiq  Butt, Air Chief Marshal, PAF",910000
"Sahebzada  Ahmed
Khan, AS / Chief of Protocol, MoFA",900000
"Mr. Moazzam Ahmad Khan,            Special Secretary          while serving                 as
Ambassador           of Pakistan to UAE",900000
"Khattak,    Defence Minister",900000
"Constable    Syed    Faqir Shah, Police Gunman.",900000
"Mr.    Imran    Khan, Prime    Minister    of Pakistan",890700
"President   of   Pakistan, Mr. Mamnoon Hussain",889350
"Mr.   Moin-ul-Haq,   Chief of  Protocol,  M/o  Foreign
Affairs",875000
"SP   Mahzoor   Ali   Ghauri,   Chief Security Officer to Prime Minister",860250
"SP Akhtar Farooq, SO to the Prime Minister.",850000
"Wife    of    Mr.    Aizaz Ahmed       Chaudhry,
Foreign Secretary",850000
"Wife   of   Mr.   Shahid Khaqan          Abbasi, Minister  of  Petroleum
& Natural Resources",850000
"Raja             Muhammad
Shahzad,           Protocol Assistant.",850000
"Mr.  Irfan  Qazi,  PRO  to the Prime Minister",850000
"Mr.    Nabeel    Awan, PSO   to   the   Prime
Minister",850000
"Mr.     Fawad     Hasan Fawad, AS, PM Office",850000
"Brig.  Akmal  Aziz,  MS to the Prime Minister",850000
"Mr.  Adeel  Ahmed  Khan,  Deputy Chief of protocol(v-II) MOFA",834250
"Mr.   Ali   Haider   Altaf,   Director General Protocol",834250
SAPM  Syed  Zulfiqar Abbas Bukhari,830000
"Mr.   Nadeem   Babar, SAPM on petroleum",830000
"Mr.     Imran     Khan,
Prime    Minister    of Pakistan",818000
"Wife     of     Ahsan Iqbal,        Interior
Minister",775000
"Admiral       Muhammad Zakaullah,     Chief     of Naval Staff",765000
"Mr.   Muhammad   Nawaz Sharif, Prime Minister of Pakistan",760000
"Syed Tariq Fatemi, SAPM on Foreign Affairs",751000
"Shah          Mehmood
Hussain        Qureshi,
Foreign   Minister   of Pakistan",750000
"Mr.     Shahid     Khaqan Abbasi, Federal Minister
for Petroleum & Natural Resources",750000
"Capt.  (PN).  Amir  Saeed,
Deputy Military Secretary (DMS) to the President",725000
"Brig.   Syed   M.   Adnan, Military  Secretary  to  the
President",725000
"Mr.   Muhammad   Ishaq Dar, Finance Minister",723600
"Mr.  Salman  Siddique, Finance Secretary",700000
"Mr.  Sartaj  Aziz,  SAPM, Advisor     to     PM     on National     Security     & Foreign Affairs",691000
"First   Lady,   wife   of the   Dr.   Arif   Alvi, President of Pakistan",689000
"Shaikh Imran ul Haque, Managing    Director    &",650000
"Nawabzada    Malik    Amad Khan,  Minister  for  State, Foreign Affairs",650000
"Mrs.  Samina  Khalid Ghurki, MNA",641500
"Mr. Amjad Hussain B. Sial,               Special Secretary,      Foreign Affairs",640000
"Rana   Akbar   Hayat, PSO   to   the   Prime Minister",625000
"Khawaja   M.   Asif, Foreign Minister",625000
"Maj     Asad     Rashid Khan,  ADC  to  Prime Minister",625000
Ambassador      Syed Ahsan Raza Shah,625000
"Brig Waseem Iftikhar Cheema,
Military  Secretary  to the Prime Minister",625000
"Mr.     Shahid     Khaqan Abbasi,     Minister     for Petroleum    &    Natural
Resources",615000
"Dr. Abdul Hafeez  Sheikh, Minister for Privatization",602040
"Syed            Zulfiqar Bukhari, SAPM",600000
"Prime    Minister    of Pakistan, Mr.   Imran
Khan",600000
"Mr.  Nadeem  Babar, SAPM on Petroleum",600000
"Mr.  Ghulam  Sarwar Khan,   Minister   for Energy",600000
"Mr.    Abdul    Razzaq Dawood,  Advisor  on Commerce,   Textile, Industries              &
Production          and Investment",600000
Mr.   Haroon   Sharif M/o state,600000
"Mr.     Asad     Umer Minister  for  Finance,
Revenue             and Economic Affairs",600000
"Mr.         Muhammad Saddiq       Sanjrani,
Chairman Senate,",600000
"Makhdoom        shah
Mahmood     Hussain Qureshi",600000
"Mr.       Zahid       Hamid, Minister   for   Science   & Technology",591000
"Sqd.  Ldr.  Mohyuding
Chisti,   ADC   to   the Prime Minister",590000
"Mr. Raja M. Shahzad, UDC PM Office",590000
"Mr.   Zeeshan   Raza,",590000
"Mr.   Danyal   Saleem
Gilani, DS (media) to the Prime Minister",590000
"Mr. Moin Ul Haq, Chief of Protocol",589500
"General         Parvez Musharraf, President of Pakistan",586100
"Mr.   Shahid   Khaqan Abbasi,    Minister    of Petroleum  &  Natural
Resources",582000
Major     Saad     Zafar     Assistant Security Officer to Prime Minister,575000
"Dr.        Arif        Alvi, President of Pakistan",573207
"Mr.    Asif    Ali    Zardari, President of Pakistan.",559223
"SAPM   on   Overseas Pakistanis   &   HRD,
Syed            Zulfiqar Bukhari",550000
"Mr.  Khurshid  M.  Kasuri, Minister      for      Foreign
Affairs",550000
"Mr.   Muhammad   Nasser Khan  Mengal,  Minister  of
State   for   petroleum   & Natural Resources",550000
"Mr.     Ghulam     Sarwar, Minister   for   Labour   &
Manpower",550000
"Engr.      Amir      Mauqam
Minister    of    State    for Water and Power",550000
"Col.   Salik   Nawaz, Deputy     Chief     of Protocol,       Foreign
Affairs",532000
"Mr.   Farhatullah   Baber,
Spokesperson     to     the President",525000
"Cdr.  Syed  Salman  Shah, ADC to the President",525000
"General        Parvez         Musharraf, President/     Chief     Executive     of Pakistan",521910
Mir      Faridullah      Khan Jamali,517000
"Prime   Minister   of
Pakistan,      Imran Khan",515000
Mr.  Imran  khan  P.M of Pakistan,500000
"First  Lady,  wife  of  Mr. Mamnoon Hussain",500000
"Col.       Moeen       Iqbal, Commandant      Awaran Militia    FC    Balochistan
South",500000
"Mr.  Asif  Ali  Zardari, President of Pakistan",484300
"Mr.    Imran    Khan,
Prime    Minister    of Pakistan",480000
"Mr.  Omar   Ayub  Khan, Minister   of   State   for
Finance",473066
"Brig.            Muhammad Aamer,               Military
Secretary       to       the President",470000
"Begum Prime Minister of  Pakistan,  Wife  of Mr.          Muhammad
Nawaz Sharif",465660
"Mr. Sohail Mehmood, Foreign Secretary",465200
"Mr.     Aizaz     Ahmed
Chaudhry,      Foreign Secretary",465000
"Mr.   Shaukat   Aziz, Minister for Finance",450754
"President           of
Pakistan           Mr. Mamnoon Hussain",450000
"Begum  Prime  Minster,
Wife of Mr. Muhammad Nawaz Sharif",430600
"Sheikh          Rashid Ahmed,  Minister  for Information        and
Media Development",430000
"Mr.  Aftab  Hasan  Khan, DCP, Foreign Office",425000
"Aijaz  Ahmed  Chaudhary, MNA",417469
"Mr.           Bahrullah Hazarvi,        Deputy
Director,        Arabic Interpreter",416500
"Mr. Shaukat Aziz, Finance Minister",412584
"Mian     Raza     Rabbani, Chairman Senate",411006
"Mr.   Sahebzada   Ahmed Khan, Chief of Protocol",405000
Mr. Asif Imran Chief of Protocol (v-II) MOFA,400000
"Mr.    Murad    Ashraf Janjua,     Chief     of Protocol",400000
Mr.             Pervez,400000
"Brig    (R)    Mansoor Hamid,         Special
Assistant     to     the Prime Minister",397000
"Mr.   Farhatullah   Babar, Spokesperson     to     the President",396649
"Ms.      Rahila      Isa, Secretary   to   Begum Prime Minister",390000
"Maj.  General  and  Begum Shafaat  Ullah  Shah,  MS",390000
"Brig            Waseem Iftikhar Cheema, MS to the Prime Minister",390000
"SP      Mazhoor      Ali Ghauri,             Chief Security   Officer   to the Prime Minister",387500
"Constable        Toufiq
Ahmad,            Police Gunman",387500
"Mr.  Ikramullah  Mehsud, Additional         Secretary (ME&A), Foreign Affairs",387149
"Mr.  Amir  Saeed,  Deputy Military Secretary, (DMS) to the President",387149
"Lt.  Col.  Babar  Mumtaz, Chief    Security    Officer (CSO) to the President",387149
"Brig.   Syed   M.   Adnan, Military   Secretary   (MS) to the President",387149
"Mr.  Ghalib  Iqbal,  Chief  of Protocol,     M/o     Foreign Affairs",385000
"Mr.  Asif  Ali  Zardari, Co-Chairman        of PPPP",383500
"Mr.  khurshid  M.  Kasuri, Foreign Minister",381825
"Prime   Minister   of Pakistan,          Mr. Shahid       Khaqan
Abbasi",380000
"Mr.               Saleem Mandviwalla,
Minister    of    state/ Chairman BOI",380000
"Malik    Asif    Hayat, Additional Secretary,       Prime
Minister Secretariat",380000
"Dr.    H.    M.    Zafar Awan,         Personal Consultant   to   the
Prime Minister",380000
"Begum   Prime   Minister, Wife  of  Mr.  Muhammad Nawaz    Sharif,    Prime
Minister of Pakistan",380000
"Brig. (r) Mian Khalid Habib,     Chief     of
Protocol,       Foreign Affairs",380000
"Brig.   Imran   Malik, Military Secretary to the Prime Minister",380000
"Mr.   Mamnoon   Hussain, President of Pakistan",379013
"Brig.(R)     Mian     Khalid Habib,  Chief  of  Protocol,
Foreign Affairs",375000
"Mr.     Asif     Ali     Zardari, President of Pakistan",373000
"Barrister   Masood   Kausar, Governor KPK",372600
Mr. Shakoor Tahir,370200
"Syed  Afzal  Hussain Shah,          protocol
Officer,         Foreign Affairs",369500
"Prime   Minister   of Pakistan,          Mr. Shahid       Khaqan Abbasi",360000
"Dr. Asim Hussain, Minister for  Petroleum  and  Natural
Resources",350000
"Mr.     Shujjat     Azeem, SAPM",345000
"Mr.   Imran   Khan,
Prime   Minister   of Pakistan",340000
"Mr.       Abdul       Razzaq Dawood,  Advisor  to  the
Prime       Minister       on Commerce & Investment",340000
"Mr. Ghalib Iqbal, Chief of Protocol, Foreign Affairs",338500
"Rai   Riaz   Hussain,
Press   Secretary   to the Prime Minister",335000
"Brig.               Azhar Mahmood     Kayani, Personal    Physician to       the       Prime
Minister",335000
"Khawaja       Muhammad
Asif,  Minister  for  Water & Power",334000
"Cdre Sharjeel Iftikhar, ACNS (OP)",331660
"Qazi          Khalilullah, Additional    Secretary (Middle       East       &
Africa),           Foreign Affairs",330000
"Prime   Minister   of
Pakistan,          Mr. Imran Khan",330000
"Mr.      A.S.      Babar, Director         General (Middle East), Foreign Affairs",330000
Justice Qazi Faez Isa,330000
"Special  Assistant  to
the   Prime   Minister on Accountability",325000
"Chief   of   Air   Staff, Pakistan Air force",319190
"Khawaja       Muhamamd Asif,       Minister       for
Defence/Water & Power",310000
"Admiral   M.   Zakaullah, Chief of Naval Staff",305000
"Makhdoom             Amin Faheem, MNA",300000
"Dr.  Miftah  Ismail,  MoS/
Chairman,     Board     of Investment",300000
"Mr.             Mamnoon Hussain,  President  of
Pakistan",299500
"Begum  Sahiba,  wife  of Mr. Shaukat Aziz, Prime Minister of Pakistan",297090
Mr.   Jahangir    Badar PPP Senator,291500
"Mr. Sartaj Aziz, SAPM",290000
"SAPM   on   Overseas Pakistanis   &   HRD, Syed  Zulfiqar  Abbas
Bukhari",280000
"L   NK   Zafar   Iqbal, Gunman",271500
"Brig.   Syed   M.   Adnan,
Military  Secretary  to  the President",270000
"Mir      Zafarullah      Khan Jamali,  Prime  Minister  of Pakistan",267500
"Mr.    Shaukat    Aziz,    Minister    for Finance",263407
"SP.  M.  Faisal,  Security Officer,  Prime  Minister Office",262700
"Brig    (r)    Mansoor Hamid,         Special Assistant     to     the
Prime Minister",258528
"Mr.         Zamir         Akram, Additional Secretary (FSA)",252000
"Sqn.    Ldr.    Waqar
Ahmed,  ADC  to  the Prime Minister",250000
"Wg    Cdr    Khurram Javaid,
ADC   to   the   Prime Minister",250000
"Mr. Shahid Khaqan
Abbasi,         Prime",250000
"President   of   Pakistan,",250000
"Mr.   Asad   Durrani, Ex-Ambassador     of Saudi Arabia.",250000
"Lt.     Cdr.     Ahmed
Farooq Butt, ADC to the Prime Minister",250000
"Dr Moeed Yusuf, SAPM",250000
"Ms.  Hina  Rabbani  Khar, Foreign Minister",247000
Mr.  Shaukat  Aziz  Advisor  to  PM  on Finance & Economic Affairs,243760
"Mr.   Mohyuddin   Wani, Press  Secretary  to  the Prime Minister",241750
"General Parvez Musharraf, President
/ Chief Executive of Pakistan",240250
"Mr.  Pervez  Zahoor, CSO   to   the   Prime
Minister",240000
"Mr.  Talat  Mahmood UDC, Prime Minister Secretariat",240000
"Mr.   Altamash   Khan, Director Gulf, Foreign Affairs",235000
"Mr.     Imran     Khan, Prime    Minister    of
Pakistan",235000
"Mrs.   Kulsoom   Nawaz, w/o  Prime  Minister,  Mr. Muhammad          Nawaz
Sharif",231900
"Mr. Muhammad Atif Dar, Assistant      Chief      of
Protocol, MOFA",230000
"Mr. Adeel Ahmed Khan,
Director    M/o    Foreign Affairs",230000
"Mr.   Sohail   Aman   Air Chief Marshal, PAF",230000
"Mr.      Arshad      Mirza,
Secretary,  Petroleum  & NR",230000
"Admiral        Muhammad Zakaullah,  Chief  of  the
Naval Staff Pakistan",230000
"Brig.   (R)   Syed   Javed Hassan,              Council General, Dubai",230000
"Mr.     Moin-ul-Haque, Chief of Protocol, M/o
Foreign Affairs",228500
"Minister  for  Water  & Power,   Raja   Pervez Ashraf",224800
"Mr.  Abdul  Sattar,  Former  Foreign Minister",216850
"Ch.      Shujat      Hussain, Prime Minister of Pakistan",216500
"Syed      Muhammad      Ali Gardez Chairman, NHA",215000
"Mr.     Asad     I.A.     Khan, Managing             Director,
NESPAK",215000
"Mr.       Shakil       Durrani,",215000
"Dr.   Mohammed    Yaseen, Chairman PTA",215000
"Syed  Hamid  Kazmi, Federal  Minister  for Religious Affairs",211300
"Mrs.       Khushbakht Shujat, MNA",211300
"Ms.            Shagufta Jumani,           MNA, Minister    of    State, M/o Religious Affairs",211300
"Ms.             Mehreen Razzaque      Bhutto, MNA",211300
"Mrs.               Tahira Aurangzeb, MNA",211300
"Mrs.        Khursheed Begum, MNA",211300
"Mr.     Munir     Khan Orakzai, MNA",211300
"Dr.        Zil-E-Huma, MNA",211300
"Waqar   Ahmad,   Deputy Military Secretary to the Prime Minister",210000
Chairman Senate,206500
"Syed    Ahsan    Raza Shah,    Ambassador
of Pakistan to Qatar",200000
"Ms.   Kalsoom   Nawaz, Begum   Prime   Minister
of Pakistan.",200000
"Foreign        Minister Shah         Mahmood
Qureshi",200000
"Brig    Muhammad    Ahmad,    Ex- Military     Secretary     to     Prime
Minister",200000
"Sheikh          Rashid Ahmed,  Minister  for
Information        and Media Development",192738
"Sheikh   Rasheed   Ahmed Minster  for  information  &
Broadcasting",185000
"Begum Raja Pervez Ashraf, Prime Minister of Pakistan",185000
"Brig.(R) Mian Khalid Habib,     Chief     of Protocol,       Foreign Affairs",183699
Defence Minister,180200
"Mr.  Munir  Khan  Orakzai, Parliamentary         leader
FATA",180000
"Syed              Yahya Manawar,     Political Secretary    to    the
Prime Minister",178602
"Mr.  Abid  Ullah  Jan,  PM Office",175000
Deputy     Chief     of Protocol          (V-II) Ammar Amin,175000
"Mr. Nazar Muhammad Gondal   Minister   for
Food,   Agriculture   & livestock",172000
Mr.  Mamnoon  Hussain President of Pakistan,171000
"Mian      Muhammad Shehbaz        Sharif, Chief          Minister, Punjab",170000
"Mir  Zafarullah  Khan
Jamali,           Prime Minister of Pakistan",168650
"SP   Muhammad   Suleman, Additional  Security  Officer to the Prime Minister (ASO
to PM)",165000
"SSP   Babar   Sarfraz   Alpa,
Chief   Security   Officer   to the Prime Minister",165000
"Mr.        Ammar        Amin, Assistant   Chief   Protocol,
Foreign Affairs",165000
"Lt.    Col.    Malik    Naveed Ahmed,   Director   Security to the Prime Minister",165000
"Mrs. Belum Hasnain, MNA",163900
"Mr.   Khushnood   Akhtar Lashari,            (Principal Secretary  to  the  Prime Minister) (PSPM)",160000
"Mr.    Akram    Shaheedi,",160000
"Mr.     Javed     Iqbal,
Assistant      Protocol Officer",160000
"Mr.       Salman       Bashir, Secretary Foreign Affairs",160000
"Maj. Gen. Shafqaat Ahmed, Military   Secretary   to   the President and his wife.",160000
"ASP        Muhammad Sami Malik, Security
Officer  to  the  Prime Minister",160000
"ASI    Hamad    Raza, Gunman",160000
"Brig.    Raja    Samiullah, Personal Physician to  PM",160000
"Senator        M.        Talha Mehmood,        Chairman,
Senate               Standing Committee on Interior",159050
"Secretary, Commerce",158500
"Mr.     Shabbir     Ahmed,
Additional       Secretary, Finance Division",158500
"Mr.      Haseeb      Athar, Additional       Secretary,
Economic             Affairs Division",158500
"President           of
Pakistan,          Mr. Mamnoon Hussain",157000
"Rana   Akbar   Hayat, PSO   to   the   Prime
Minister",150000
"Mr.    Muhammad    Israr    Tareen, Federal    Minister    for    Defence Production",150000
"Mr.    Abdus    Sattar Laleka,          Labour Minister",150000
Federal      Minister      for Labour    Manpower    and,150000
"Begum              Prime Minister,  Wife  of  Mr. Muhammad      Nawaz
Sharif",145000
"Mr.    Muhammad    Tariq, Photographer, PID",143000
"Begum               Admiral Muhammad    Zakaullah, Naval Chief",141900
"Mir      Zafarullah      Khan
Jamali,  Prime  Minister  of Pakistan",138900
"Admiral       Muhammad Zakaullah,     Chief     of
Naval Staff",138000
"Pakistan    Navy    Officer
Rear   Admiral   Tariq   Ali HI(M)",136499
"Begum Prime Minister of  Pakistan,  Wife  of Mr.          Muhammad Nawaz Sharif",135320
"Murad     Ashraf     Janjua, Deputy  Chief   of   Protocol (DCP),  Ministry  of  Foreign
Affairs",135000
"Mr. Muqqudus Hyder, SP. Security   Officer   to   the Prime Minister",135000
"Mr.  Janbaz  khan,  Deputy
Chief    of    Protocol,    M/o Foreign Affairs",135000
"Mr.    Ghalib    iqbal, Chief   Protocol   M/o Foreign Affairs",135000
"Mr.     Imran     Khan, Prime    Minister    of Pakistan",134015
Mr. Nawaz Raza,133000
