"S.
No.",Detail of Gifts,Name of Recipient,Date,"Assessed
Value",,,,"Retention
cost",retention_cost,,,Remarks,,,
198,"One Box Containing Two Wrist               Watches, Cufflinks,   Pair   of   Ear- rings,   One   Ring,   One
Bracelet & One Pen.","Lt.  Col.  Babar  Mumtaz, Chief    Security    Officer (CSO) to the President",15/08/2011,"Rs.387,149/-","387,149",,,"Rs.56,573/-",56573.00,-,,"Amount
deposited, gift retained",,,
289,"Two  Wrist  Watches  Gio Monoco Lady’s & Gents, Bracelet,   Pair   of   Ear Rings,   Ring,   Ball   pen
and Pair of cufflinks","Mr.  Ikramullah  Mehsud, Additional         Secretary (ME&A), Foreign Affairs",22/11/2011,"Rs.387,149/-","387,149",,,"Rs.56,573/-",56573.00,-,,"Amount
deposited, gift retained",,,
190,a.  Gents    Watch    Gio,"Mr. Ghalib Iqbal, Chief of",25/07/2011,"a. Rs. 85,000/-", Rs,"85,000",,"Rs.56,573/-",56573.00,-,,"Amount
deposited, gift retained",,,
8,"a.  One wrist watch,
b.  One dagger.
c.  One pen
d.  Pair of cufflinks
e.  One Tasbih","Mr.  Asif  Ali  Zardari, Co-Chairman        of PPPP",02/02/2009,"a.  Rs.310,000/-
b.  Rs.20,000/-
c.  Rs.1,500/-
d.  Rs.17,000/-
e.  Rs.35,000/-",  Rs,"310,000",,"Rs.56,025/-",56025.00,-,,"Amount
deposited, gift retained",,,
18,One W/Watch (Piaget),"Mr.     Shahid     Khaqan Abbasi,     Minister     for Petroleum    &    Natural
Resources",09/03/2017,"Rs.290,000/-","290,000",,,"Rs.56,000/-",56000.00,-,,"Amount
deposited, gift retained",,,
92,Wrist   watch   (Frank Muller)          Geneva Electra,"Mr.               Saleem Mandviwalla,
Minister    of    state/ Chairman BOI",18/07/2009,"Rs.380,000/-","380,000",,,"Rs.55,500/-",55500.00,-,,"Amount
deposited, gift retained",,,
145,"a.  One Model of Kuwait Sailing     Ship     (Al Boom)
b.  One    Wrist    Watch (Ulysse Nardin)
c.  Six      Gold      Coins (Central    Bank    of Kuwait                i.e.
1,5,10,20,50,100
Fils)
d.  One Pure Silver Coin Picture           Kuwait
landmarks         with Selective gold plated","Mr.    Asif    Ali    Zardari, President of Pakistan.",13/06/2011,"a. Rs.4,000/
b. Rs.165,000/-
c. Rs.148,000/-
d. Rs.14,617/-
e. Rs.14,617/-
f. Rs.14,617/-
g. Rs.15,000/-
Total: Rs.375,851/-", Rs,"4,000",,"Rs. 54,878/-",54878.00,-,,"Amount
deposited, gift retained",,,
66,Wrist watch Rolex,"Sheikh          Rashid Ahmed,  Minister  for Information        and
Media Development",03/02/2003,"Rs. 375,000/-","375,000",,,"Rs.54,750/-",54750.00,-,,"Amount
deposited, gift retained",,,
111,Apple i Phone 13,"Pakistan    Navy    Officer
Rear   Admiral   Tariq   Ali HI(M)",10/12/2021,"Rs.136,499/-","136,499",,,"Rs.53,250/-",53250.00,-,,"Amount
deposited, gift",,,
181,One       Brief       Case Containing: -,"Mr.   Khurshid   M.   Kasuri, Foreign Minister",12/04/2007,"a.  Rs.250,000/-
b.  Rs.46,840/-",  Rs,"250,000",,"Rs.52,575/-",52575.00,-,,"Amount
deposited, gift",,,
35,A  box  containing  one,"Mr. Sartaj Aziz, SAPM",28/03/2014,"Rs.270,000/-","270,000",,,"Rs.52,000/-",52000.00,-,,"Amount deposited., gift retained",,,
31,"(a)One            W/watch
(corum)               (No.b 059/250).
(b)One Tasbih.
(c)One pen.
(d)One Ring.
(e)Pair of Stud.","SP.  M.  Faisal,  Security Officer,  Prime  Minister Office",25/02/2016,"(a)Rs.135,000/-
(b)Rs.18,000/-
(c)Rs.15,000/-
(d)Rs.47,000/-
(e)Rs.47,700/-","135,000",,,"Rs.50,540/-",50540.00,-,,Amount deposited. Gift retained,,,
30,One            w/watch “Movado”      83-C5- 1890-24439010,"Mr.          Muhammad Hanif, photographer",04/03/2020,"Rs.130,000/-","130,000",,,"Rs. 50,000/-",50000.00,-,,"Amount deposited,
gift retained",,,
31,One            w/watch “Movado”      83-C5- 1890-24439121,"Mr.   Imran   Hussain, Cameraman",04/03/2020,"Rs.130,000/-","130,000",,,"Rs. 50,000/-",50000.00,-,,"Amount deposited,
gift retained",,,
19,Rolex Wrist watch,"Aijaz  Ahmed  Chaudhary, MNA",26/01/2004,"Rs.335,000/-","335,000",,,"Rs.48,750",48750.00,,,"Amount deposited,
gift retained",,,
97,Wrist watch Rolex,"Rai   Riaz   Hussain,
Press   Secretary   to the Prime Minister",14/02/2003,"Rs.335,000/-","335,000",,,"Rs.48,750/-",48750.00,-,,"Amount deposited,
gift retained",,,
61,Wrist watch Rolex,"Col.   Salik   Nawaz, Deputy     Chief     of Protocol,       Foreign
Affairs",01/02/2003,"Rs.335,000/-","335,000",,,"Rs.48,750/-",48750.00,-,,"Amount deposited,
gift retained",,,
73,Wrist watch Rolex,"Brig.   Imran   Malik, Military Secretary to the Prime Minister",07/02/2003,"Rs.335,000/-","335,000",,,"Rs.48,750/-",48750.00,-,,"Amount deposited,
gift retained",,,
85,Wrist watch Rolex,"Dr.    H.    M.    Zafar Awan,         Personal Consultant   to   the
Prime Minister",13/02/2003,"Rs.335,000/-","335,000",,,"Rs.48,750/-",48750.00,-,,"Amount deposited,
gift retained",,,
88,Wrist watch Rolex,"Malik    Asif    Hayat, Additional Secretary,       Prime
Minister Secretariat",14/02/2003,"Rs.335,000/-","335,000",,,"Rs.48,750/-",48750.00,-,,"Amount deposited,
gift retained",,,
94,Wrist watch Rolex,"Brig.               Azhar Mahmood     Kayani, Personal    Physician to       the       Prime
Minister",14/02/2003,"Rs.335,000/-","335,000",,,"Rs.48,750/-",48750.00,-,,"Amount deposited,
gift retained",,,
122,One   wrist   watch Rolex,"Brig. (r) Mian Khalid Habib,     Chief     of
Protocol,       Foreign Affairs",01/03/2003,"Rs.335,000/-","335,000",,,"Rs.48,750/-",48750.00,-,,"Amount deposited,
gift retained",,,
133,One   wrist   watch Rolex,"Brig    (r)    Mansoor Hamid,         Special
Assistant     to     the Prime Minister",17/03/2003,"Rs.335,000/-","335,000",,,"Rs.48,750/-",48750.00,-,,"Amount deposited,
gift retained",,,
26,Woolen    Carpet    size,"President   of   Pakistan,",29/03/2017,"Rs.250,000/-","250,000",,,"Rs.48,000/-",48000.00,-,,"Amount deposited,
gift retained",,,
1,"a)  One Kettle Silver
b)  One Shield","Dr.       Arif       Alvi,
President of Pakistan",01/01/2019,"a)  Rs.125,000/-
b)  NCV","125,000",,,"Rs.47,500/-",47500.00,-,,"Amount deposited,
gift retained",,,
53,"a)  One              Ladies W/Watch        (Nina Ricci).
b)  One               Gents
W/Watch (Pequignet-","Admiral        Muhammad Zakaullah,  Chief  of  the Naval Staff Pakistan",17/07/2017,"a)  Rs.35,000/-
b)  Rs.40,000/-","35,000",,,"Rs.47,000/-",47000.00,-,,"Amount deposited,
gift retained",,,
69,"a.  Two Quran-e-Pak
b.  4    CD’s    Talawat
Quran
c.  Piece  of  Ghalaf-e-
Kaba
d.  One     Model     of Makkah        Tower (Table)  Clock  with (Crystal & Stones)
e.  One           Framed Calligraphy
f.   06      Books      on Makkah","Mr.     Asif     Ali     Zardari, President of Pakistan",10/09/2012,"a.  NCV
b.  NCV
c.  NCV
d.  Rs. 225,000/-
e.  Rs. 18,000/-
f.   NCV
Total:- 243,000/-",  NCV,,,"Rs.46,600/-",46600.00,-,,"Amount deposited,
gift retained",,,
28,"(a)One            W/Watch (GRISOGONO) (No.1011017)
(b)One Tasbih.
(c)One pen.
(d)One Ring.
(e)Pair of Stud.","Mr.   Mohyuddin   Wani, Press  Secretary  to  the Prime Minister",25/02/2016,"(a)Rs.115,000/-
(b)Rs.18,000/-
(c)Rs.10,000/-
(d)Rs.50,750/-
(e)Rs.48,000/-","115,000",,,"Rs.46,350/-",46350.00,-,,"Amount deposited,
gift retained",,,
96,One wrist watch Omega,Mir      Faridullah      Khan Jamali,10/05/2004,"Rs.315,000/-","315,000",,,"Rs.45,750/-",45750.00,-,,"Amount deposited,
gift retained",,,
13,"a.  One  Noritake  dinner set (34 pieces)
b.  One Pair of cufflinks","Mr.  Imran  Khan,  Prime Minister of Pakistan",04/03/2021,"a.  Rs.100,000/
-
b.  Rs.20,000/-",  Rs,"100,000",,"Rs.45,000/-",45000.00,-,,"Amount deposited,
gift retained",,,
69,"One carpet
(11.5’x8.5’)","Foreign   minister   of
Pakistan,           Shah Mehmood Qureshi",25/11/2020,"Rs.120,000/-","120,000",,,"Rs.45,000/-",45000.00,-,,"Amount deposited,
gift retained",,,
199,"One W/watch
“Paul   Picot”   (No.   REF
9353)","Mr.         Muhammad Ikram           Abbasi, Cameraman PTV",24/12/2019,"Rs. 120,000/-","120,000",,,"Rs.45,000/-",45000.00,-,,"Amount deposited,
gift retained",,,
95,"One     Wrist     Watch Cartier  (Balloon  Bleu De                Cartier)
(384135TX)    (3001)
(Stainless Steel)","Mr.   Altamash   Khan, Director Gulf, Foreign Affairs",22/06/2015,"Rs. 235,000/-","235,000",,,"Rs. 45,000/-",45000.00,-,,"Amount deposited,
gift retained",,,
16,"a)  One Necklace.
b)  Ear Tops","Mrs.   Kulsoom   Nawaz, w/o  Prime  Minister,  Mr. Muhammad          Nawaz
Sharif",09/03/2017,"a)  Rs.117,500/-
b)  Rs.114,400/-","117,500",,,"Rs.44,380/-",44380.00,-,,"Amount deposited,
gift retained",,,
23,"One    W/Watch    (Ebel)
Model         No.1911BTR Automatic Swiss Made","Mr. Adeel Ahmed Khan,
Director    M/o    Foreign Affairs",17/02/2016,"Rs.230,000/-","230,000",,,"Rs.44,000/-",44000.00,-,,"Amount deposited, gifts
retained",,,
56,One W/Watch (Ebel),"Mr.      Arshad      Mirza,
Secretary,  Petroleum  & NR",15/03/2016,"Rs.230,000/-","230,000",,,"Rs.44,000/-",44000.00,-,,"Amount deposited, gifts retained",,,
38,One W/Watch (Ebel),"Brig.   (R)   Syed   Javed Hassan,              Council General, Dubai",26/04/2017,"Rs.230,000/-","230,000",,,"Rs.44,000/-",44000.00,-,,"Amount deposited, gifts retained",,,
45,One Carpet (Large),"Prime   Minister   of Pakistan,          Mr. Shahid       Khaqan
Abbasi",11/04/2018,"Rs.250,000/-","250,000",,,"Rs.44,000/-",44000.00,-,,"Amount deposited, gifts retained",,,
36,One   W/Watch   Girard Perregaux No.49860,"Mr. Muhammad Atif Dar, Assistant      Chief      of
Protocol, MOFA",11/04/2017,"Rs.230,000/-","230,000",,,"Rs.44,000/-",44000.00,-,,"Amount deposited, gifts retained",,,
107,One W/Watch (Ebel),"Mr.   Sohail   Aman   Air Chief Marshal, PAF",30/06/2016,"Rs.230,000/-","230,000",,,"Rs.44,000/-",44000.00,-,,"Amount deposited, gifts retained",,,
26,One Carpet (Large),"Mr. Shahid Khaqan
Abbasi,         Prime",01/03/2018,"Rs.250,000/-","250,000",,,"Rs.44,000/-",44000.00,-,,"Amount deposited, gifts retained",,,
118,"a.  Gents wrist watch (Frank Muller)
b.  Ladies          wrist
watch        (Frank Muller)
c.  Leather hand bag","Mr. Shaukat Aziz, Finance Minister",01/06/2004,"a.  Rs.75,000/-
b.  Rs.225,000/-
c.  Rs.2,500/-",  Rs,"75,000",,"Rs.43,875/-",43875.00,-,,"Amount deposited, gifts retained",,,
229,One      wrist      watch omega,"Mr.  khurshid  M.  Kasuri, Foreign Minister",01/07/2006,"Rs.300,000/-","300,000",,,"Rs.43,500/-",43500.00,-,,"Amount deposited, gifts retained",,,
132,"a.  One  wrist  watch,
gent’s,
b.  One  wrist  watch ladies
c.  Lady’s Ring
d.  Pair of Ear Ring
e.  One Bracelet
f.   Pair of studs
g.  One pen",Mr.   Jahangir    Badar PPP Senator,20/08/2010,"a.  Rs.50,000/-
b.  Rs.65,000/-
c.  Rs.24,400/-
d.  Rs.29,500/-
e.  Rs.117,600/-
f.   Rs.2,500/-
g.  Rs.2,500/-",  Rs,"50,000",,"Rs. 42,225/-",42225.00,-,,"Amount deposited, gifts retained",,,
21,"One     Wrist     Watch (Hublot)    (Sr.    No.
925890)","Mr.     Moin-ul-Haque, Chief of Protocol, M/o
Foreign Affairs",21/01/2015,"Rs.220,000/-","220,000",,,"Rs.42,000/-",42000.00,-,,"Amount deposited, gifts retained",,,
334,"a.  A Dagger
b.  A   Silver   Decoration piece
c.  Gent’s   wrist   watch (Balmain)     No.322- 6311-33-84
d.  Ladies   wrist   watch (Balmain)     No.322-
6311-33-84","Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",19/03/2005,"a.  Rs.40,000/-
b.  Rs.40,000/-
c.  Rs.120,000/-
d.  Rs.90,000/-",  Rs,"40,000",,"Rs.42,000/-",42000.00,-,,"Amount deposited, gifts retained",,,
103,"(a)One     Pen     (Harry Winston).
(b)Pair of Stud.
(c)One Ring.
(d)One Tasbih.","Syed     Tariq     Fatemi, SAPM on foreign Affairs",25/05/2016,"(a)Rs.50,000/-
(b)Rs.75,000/-
(c)Rs.40,000/-
(d)Rs.50,000/-","50,000",,,"Rs.41,000/-",41000.00,-,,"Amount deposited, gifts retained",,,
30,One JBR Wrist Watch,"Dr.   Mohammed    Yaseen, Chairman PTA",05/03/2012,"Rs. 215,000/-","215,000",,,"Rs. 41,000/-",41000.00,-,,"Amount deposited, gifts retained",,,
37,Wrist Watch JBR (with 2 straps),"Mr.     Asad     I.A.     Khan, Managing             Director,
NESPAK",20/03/2012,Rs. 215000/-,215000,,,"Rs.41,000/-",41000.00,-,,"Amount deposited, gifts retained",,,
23,One JBR Wrist Watch,"Mr.       Shakil       Durrani,",20/02/2012,"Rs. 215,000/-","215,000",,,"Rs. 41,000/-",41000.00,-,,"Amount deposited, gifts retained",,,
25,One   souvenir   clock (gold plated),"Dr. Arif Alvi, President of Pakistan",10/03/2022,"Rs.110,000/-","110,000",,,"Rs.40,000/-",40000.00,-,,"Amount deposited, gifts retained",,,
40,"a.      One      souvenir (Zafer Migfer)
b. One shield
c. One vase","Dr. Arif Alvi, President of Pakistan",30/03/2022,"a.  Rs.30,000/-
b.  NCV
c.  Rs.80,000/-",  Rs,"30,000",,"Rs.40,000/-",40000.00,-,,"Amount deposited, gifts retained",,,
12,One    Noritake    dinner set (27 pieces),"Mr.  Imran  Khan,  Prime Minister of Pakistan",04/03/2021,"Rs.110,000/-","110,000",,,"Rs.40,000/-",40000.00,-,,"Amount deposited, gifts retained",,,
21,"One  w/watch  Longines Hydroconque ST L3.742.4.96.6
(51445973)",Rear    Admiral    Salman Ilyas  SI(M)  of  Pakistan Navy,30/03/2021,"Rs.110,000/-","110,000",,,"Rs.40,000/-",40000.00,-,,"Amount deposited, gifts retained",,,
23,One  Mobile  Phone  Mate 20 Pro,"Mr.   Haroon   Sharif, Chairman,  Board  of
Investment",14/01/2019,"Rs.110,000/-","110,000",,,"Rs.40,000/-",40000.00,-,,"Amount deposited, gifts retained",,,
32,"One    Chariot    W/Watch
with  Pair  of  cufflinks  & ball pen","Brig            Waseem
Cheema  MS  to  the Prime Minister",24/01/2019,"Rs.110,000/-","110,000",,,"Rs.40,000/-",40000.00,-,,"Amount deposited, gifts retained",,,
34,"One    Chariot    W/Watch
with  Pair  of  cufflinks  & ball pen","SP    Rana    Shoaib,
CSO   to   the   Prime Minister",24/01/2019,"Rs.110,000/-","110,000",,,"Rs.40,000/-",40000.00,-,,"Amount deposited, gifts retained",,,
193,"One w/watch “Paul Picot”
(No.REF9753)","Mr.     Irfan     Ashraf Qazi,   PRO   to   the
Prime Minister",24/12/2019,"Rs. 110,000/","110,000",,,"Rs. 40,000/-",40000.00,-,,"Amount deposited, gifts retained",,,
178,"a.  A   pistol   (32   Bore) with   Telescope   and Stand        No.MR.32 “MATCH” N32644
b.  A wrist Watch Corum (No.1710796          –
137.520.47)","Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",09/02/2005,"a.  Rs.50,000/-
b.  Rs.225,000/-",  Rs,"50,000",,"Rs.39,750/-",39750.00,-,,"Amount deposited, gifts retained",,,
174,"a.  Model of ship
b.  Book   and   diary set
c.  Wrist         watch,
Korloff
d.  One        necklace pearl,
e.  Two bangles pearl
f.   One      decoration piece             with diamonds
g.  Wooden  model  of ship","Mir  Zafarullah  Khan Jamali,           Prime Minister of Pakistan",16/05/2003,"a.  Rs.7,000/-
b.  NCV
c.  Rs.20,000/-
d.  Rs.2,200/-
e.  Rs.52,390/-
f.   Rs.185,000/
-
g.  Rs.5,800/-",  Rs,"7,000",,"Rs.39,359/-",39359.00,-,,"Amount deposited, gift
retained",,,
76,"One   Packet   Containing
Necklace,         Bracelet, Earrings & Ring","Brig.   Syed   M.   Adnan,
Military  Secretary  to  the President",11/03/2011,"Rs.270,000/-","270,000",,,"Rs.39,000/-",39000.00,-,,"Amount deposited, gift
retained",,,
58,Wrist watch Rolex,"Syed  Afzal  Hussain Shah,          protocol
Officer,         Foreign Affairs",01/02/2003,"Rs.270,000/-","270,000",,,"Rs.39,000/-",39000.00,-,,"Amount deposited, gift
retained",,,
116,One   wrist   watch Rolex,"Mr.           Bahrullah Hazarvi,        Deputy
Director,        Arabic Interpreter",22/02/2003,"Rs.270,000/-","270,000",,,"Rs.39,000/-",39000.00,-,,"Amount deposited, gift
retained",,,
27,"Woolen    Carpet    size
8’x5’","President   of   Pakistan, Mr. Mamnoon Hussain",29/03/2017,"Rs.200,000/-","200,000",,,"Rs.38,000/-",38000.00,-,,"Amount deposited, gift
retained",,,
20,One   Decoration   Piece (silver),"Ms.   Kalsoom   Nawaz, Begum   Prime   Minister
of Pakistan.",13/02/2016,"Rs.200,000/-","200,000",,,"Rs.38,000/-",38000.00,-,,"Amount deposited, gift
retained",,,
173,"a.  One laptop Acer,
b.  Jewelry set
c.  Four gold coins
d.  One               box containing      CD- VCD
e.  One shield","Mir  Zafarullah  Khan Jamali,           Prime Minister of Pakistan",16/05/2003,"a.  Rs. 95,000/-
b.  Rs.121,680/
-
c.  Rs.44,265/-
d.  Rs.1,500/-
e.  NCV",  Rs,"95,000",,"Rs.37,867/-",37867.00,-,,"Amount deposited, gift
retained",,,
9,"a.  One Pistol
b.  One Long Coat
c.  One Dagger","Dr. Arif Alvi, President of Pakistan",23/02/2021,"a.  Rs.80,000/-.
b.  Rs.10,000/
c.  Rs.15,000/
Total: Rs.105,000/-",  Rs,"80,000",,"Rs.37,500/-",37500.00,-,,"Amount deposited, gift
retained",,,
33,One     Wrist     Watch Rolex No. 114270,"Mr.         Zamir         Akram, Additional Secretary (FSA)",06/02/2007,"Rs.250,000/-","250,000",,,"Rs.36,000/-",36000.00,-,,"Amount deposited, gift
retained",,,
76,Wrist watch Rolex,"Sqn.    Ldr.    Waqar
Ahmed,  ADC  to  the Prime Minister",07/02/2003,"Rs.250,000/-","250,000",,,"Rs.36,000/-",36000.00,-,,"Amount deposited, gift
retained",,,
79,Wrist watch Rolex,"Lt.     Cdr.     Ahmed
Farooq Butt, ADC to the Prime Minister",07/02/2003,"Rs.250,000/-","250,000",,,"Rs.36,000/-",36000.00,-,,"Amount deposited, gift
retained",,,
130,"a.  One  Wrist  Watch Roberge Gents
b.  One  Wrist  Watch Roberge Ladies
c.  One  Jewellery  Set consisting    of    one Ring,   pair   of   Ear studs,  one  Tie  Pin  &
one Bracelet.","Mr.   Asad   Durrani, Ex-Ambassador     of Saudi Arabia.",07/03/2003,"a. Rs.85,000/-
b. Rs.90,000/-
c. Rs.75,000/-", Rs,"85,000",,"Rs.36,000/-",36000.00,-,,"Amount deposited, gift
retained",,,
126,One              W/watch Victorinox,"Head  Constable  M.  Saghir,  Prime Minister Office",15/07/2022,"Rs.100,000/-","100,000",,,"Rs.35,000/-",35000.00,-,,"Amount deposited, gift
retained",,,
36,One W/Watch Concord,"Mr.  M  Faisal  Ilyas, PRO   to   the   Prime
Minister",24/01/2019,"Rs.100,000/-","100,000",,,"Rs.35,000/-",35000.00,-,,"Amount deposited, gift
retained",,,
37,One W/Watch Concord,"SP     Mahzoor     Ali,
Addl. Security officer to the Prime Minister",24/01/2019,"Rs.100,000/-","100,000",,,"Rs.35,000/-",35000.00,-,,"Amount deposited, gift
retained",,,
38,One W/Watch Concord,"Mr.      Mohsin      Ali Mehmood,         Astt.
Protocol officer",24/01/2019,"Rs.100,000/-","100,000",,,"Rs.35,000/-",35000.00,-,,"Amount deposited, gift
retained",,,
39,One W/Watch Concord,"Constable           Asif
Hussain           Shah, Gunman",24/01/2019,"Rs.100,000/-","100,000",,,"Rs.35,000/-",35000.00,-,,"Amount deposited, gift
retained",,,
40,One W/Watch Concord,"Constable  M.  Aamir Khan,              Police Gunman",24/01/2019,"Rs.100,000/-","100,000",,,"Rs.35,000/-",35000.00,-,,"Amount deposited, gift
retained",,,
41,One W/Watch Concord,Constable      Niamat Shah Police Gunman,24/01/2019,"Rs.100,000/-","100,000",,,"Rs.35,000/-",35000.00,-,,"Amount Deposited, gift
retained",,,
42,One W/Watch Concord,Constable   M   Yasir Police Gunman,24/01/2019,"Rs.100,000/-","100,000",,,"Rs.35,000/-",35000.00,-,,"Amount deposited, gift
retained",,,
43,One W/Watch Concord,Mr.  M  Ikram  Abbasi Camera man PTV,24/01/2019,"Rs.100,000/-","100,000",,,"Rs.35,000/-",35000.00,-,,"Amount deposited, gift
retained",,,
44,One W/Watch Concord,"Mr.      Arshad      Ali, Photographer",24/01/2019,"Rs.100,000/-","100,000",,,"Rs.35,000/-",35000.00,-,,"Amount deposited, gift
retained",,,
93,"One      Wrist      watch BEDAT  &  Co  Geneve (No.4777)    (Diamond
Bazal)","Begum Raja Pervez Ashraf, Prime Minister of Pakistan",05/11/2012,"Rs.185,000/-","185,000",,,"Rs.35,000/-",35000.00,-,,"Amount deposited, gift
retained",,,
100,Wrist watch Rolex,"Mr.  Pervez  Zahoor, CSO   to   the   Prime
Minister",14/02/2003,"Rs.240,000/-","240,000",,,"Rs.34,500/-",34500.00,-,,"Amount deposited, gift
retained",,,
229,One Jewellery Set,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",20/09/2004,"Rs.227,505/-","227,505",,,"Rs.32,626/-",32626.00,-,,"Amount deposited, gift
retained",,,
22,"a.  One  wrist  watch,
gent’s,
b.  One  wrist  watch ladies.
c.  Pair of Cufflinks
d.  Lady’s Ring
e.  Pair of Ear Ring
f.   One Bracelet
g.  One pen","Minister  for  Water  & Power,   Raja   Pervez Ashraf",12/04/2010,"a.  Rs.34,000/-
b.  Rs.50,000/-
c.  Rs.2,000/-
d.  Rs.38,500/-
e.  Rs.18,600/-
f.   Rs.80,200/-
g.  Rs.1,500/-",  Rs,"34,000",,"Rs.32,190/-",32190.00,-,,"Amount deposited, gift
retained",,,
80,"a.  One table lamp
b.  One  box  containing vase (one set) 3 pcs
c. One vase
d. One wall scenery",Advisor   to   the   Prime Minister  on  commerce  & Investment   (Mr.   Abdul Razzaq Dawood),29/11/2021,"a.  Rs.24,000/-
b.  Rs.30,000/-
c.  Rs.24,000/-
d.  Rs.15,000/-",  Rs,"24,000",,"Rs.31,500/-",31500.00,-,,"Amount deposited, gift
retained",,,
185,"a.   One   Gent’s Wrist        Watch Roberge
b.   Ladies   wrist watch Roberge
c.  Fountain  Pen Roberge
d.    One    Gents Ring            with Cufflinks
e.    Ladies    ring with ear studs
f. One Tasbih
g.     One     Brief Case","Mr.  Abdul  Sattar,  Former  Foreign Minister",26/08/2002,"a. Rs.80,000/-
b. Rs.70,000/-
c. Rs.12,625/-
d. Rs.17,730/-
e. Rs.20,920/-
f. Rs.7,575/-
g. Rs.8,000/-", Rs,"80,000",,"Rs.31,028/-",31028.00,-,,"Amount deposited, gift
retained",,,
78,One      Wrist      watch Corum,"Mr.        Ammar        Amin, Assistant   Chief   Protocol,
Foreign Affairs",19/10/2012,"Rs.165,000/-","165,000",,,"Rs.31,000/-",31000.00,-,,"Amount deposited, gift
retained",,,
87,"Wrist  watch  Baume  &
Mercier  (No.4826480) (Gents)","SSP   Babar   Sarfraz   Alpa,
Chief   Security   Officer   to the Prime Minister",02/11/2012,"Rs.165,000/-","165,000",,,"Rs.31,000/-",31000.00,-,,"Amount deposited, gift
retained",,,
88,Wrist  watch  Baume  & Mercier  (No.4895878) (Gents),"SP   Muhammad   Suleman, Additional  Security  Officer to the Prime Minister (ASO
to PM)",02/11/2012,"Rs.165,000/-","165,000",,,"Rs.31,000/-",31000.00,-,,"Amount deposited, gift
retained",,,
97,One      Wrist      watch Corum (No. 2113785),"Lt.    Col.    Malik    Naveed Ahmed,   Director   Security to the Prime Minister",08/11/2012,"Rs.165,000/-","165,000",,,"Rs.31,000/-",31000.00,-,,"Amount deposited, gift
retained",,,
53,"a.  One laptop Acer
b.  Jewelry Set
c.  Wrist           watch Danniel Roth","Mr.    Abdus    Sattar Laleka,          Labour Minister",01/02/2003,"a.  Rs.95,000/-
b.  Rs.59,500/-
c.  Rs.60,000/-",  Rs,"95,000",,"Rs.30,675/-",30675.00,-,,"Amount deposited, gift
retained",,,
54,a.  One    wrist    watch Seagul        (limited,"Mr.     Asif     Ali     Zardari, President of Pakistan,",26/06/2012,"a. Rs.150,000/-
b. Rs.10,000/-", Rs,"150,000",,"Rs.30,400/-",30400.00,-,,"Amount deposited, gift
retained",,,
2,"a.  One  wrist  watch,
gent’s,
b.  One   wrist   watch ladies.
c.  One pen
d.  Pair of ear rings
e.  Pair of cufflinks
f.   One ring
g.  One bracelet","Ms.   Nuzhat   Sadiq, MNA",21/01/2009,"a.  Rs.25,000/-
b.  Rs.85,000/-",  Rs,"25,000",,"Rs.30,195/-",30195.00,-,,"Amount deposited, gift
retained",,,
7,"One    wrist    watch,
gent’s,
b.  One   wrist   watch ladies.
c.  One pen
d.  Pair of ear rings
e.  Pair of cufflinks
f.   One ring
g.  One bracelet","Mr.     Munir     Khan Orakzai, MNA",28/01/2009,"a.  Rs.25,000/-
b.  Rs.85,000/-
c.  Rs.1,800/-
d.  Rs.22,800/-
e.  Rs.600/-
f.   Rs.28,700/-
g.  Rs.47,400/-",  Rs,"25,000",,"Rs.30,195/-",30195.00,-,,"Amount deposited, gift
retained",,,
9,"a.  One  wrist  watch,
gent’s,
b.  One   wrist   watch ladies.
c.  One pen
d.  Pair of ear rings
e.  Pair of cufflinks
f.   One ring
g.  One bracelet","Mrs.  Samina  Khalid Ghurki, MNA",02/02/2009,"a.  Rs.25,000/-
b.  Rs.85,000/-
c.  Rs.1,800/-
d.  Rs.22,800/-
e.  Rs.600/-
f.   Rs.28,700/-
g.  Rs.47,400/-",  Rs,"25,000",,"Rs.30,195/-",30195.00,-,,"Amount deposited, gift
retained",,,
10,"a.  One  wrist  watch,
gent’s,
b.  One   wrist   watch ladies.
c.  One pen
d.  Pair of ear rings","Mrs. Belum Hasnain, MNA",02/02/2009,"a.  Rs.25,000/-
b.  Rs.85,000/-
c.  Rs.1,800/-
d.  Rs.22,800/-
e.  Rs.600/-
f.   Rs.28,700/-",  Rs,"25,000",,"Rs.30,195/-",30195.00,-,,"Amount deposited, gift
retained",,,
11,"a.  One  wrist  watch,
gent’s,
b.  One   wrist   watch ladies.
c.  One pen
d.  Pair of ear rings
e.  Pair of cufflinks
f.   One ring
g.  One bracelet","Ms.            Shagufta Jumani,           MNA, Minister    of    State, M/o Religious Affairs",02/02/2009,"a.  Rs.25,000/-
b.  Rs.85,000/-
c.  Rs.1,800/-
d.  Rs.22,800/-
e.  Rs.600/-
f.   Rs.28,700/-
g.  Rs.47,400/-",  Rs,"25,000",,"Rs.30,195/-",30195.00,-,,"Amount deposited, gift
retained",,,
